date,XAU=,CLc1,LCOc1,GBP=,XLK,.IXTTR,XLE,.IXE,.RUT
1/1/1980 12:00:00 AM,512,,,0,,,,,
1/2/1980 12:00:00 AM,559.75,,,2.2331,,,,,
1/3/1980 12:00:00 AM,634.25,,,2.2437,,,,,
1/4/1980 12:00:00 AM,634.25,,,2.2371,,,,,
1/5/1980 12:00:00 AM,0,,,,,,,,
1/6/1980 12:00:00 AM,0,,,,,,,,
1/7/1980 12:00:00 AM,634,,,2.2609,,,,,
1/8/1980 12:00:00 AM,610,,,2.2578,,,,,
1/9/1980 12:00:00 AM,607.2,,,2.2681,,,,,
1/10/1980 12:00:00 AM,603.35,,,2.2584,,,,,
1/11/1980 12:00:00 AM,623,,,2.2573,,,,,
1/12/1980 12:00:00 AM,0,,,,,,,,
1/13/1980 12:00:00 AM,0,,,,,,,,
1/14/1980 12:00:00 AM,660,,,2.2701,,,,,
1/15/1980 12:00:00 AM,684,,,2.28,,,,,
1/16/1980 12:00:00 AM,760,,,2.2774,,,,,
1/17/1980 12:00:00 AM,750,,,2.2717,,,,,
1/18/1980 12:00:00 AM,835,,,2.2815,,,,,
1/19/1980 12:00:00 AM,0,,,,,,,,
1/20/1980 12:00:00 AM,0,,,,,,,,
1/21/1980 12:00:00 AM,835,,,2.2883,,,,,
1/22/1980 12:00:00 AM,737.5,,,2.2763,,,,,
1/23/1980 12:00:00 AM,695,,,2.2784,,,,,
1/24/1980 12:00:00 AM,717,,,2.2831,,,,,
1/25/1980 12:00:00 AM,668,,,2.2748,,,,,
1/26/1980 12:00:00 AM,0,,,,,,,,
1/27/1980 12:00:00 AM,0,,,,,,,,
1/28/1980 12:00:00 AM,624,,,2.2619,,,,,
1/29/1980 12:00:00 AM,674.25,,,2.2558,,,,,
1/30/1980 12:00:00 AM,691,,,2.2655,,,,,
1/31/1980 12:00:00 AM,653,,,2.2671,,,,,
2/1/1980 12:00:00 AM,676.5,,,2.2774,,,,,
2/2/1980 12:00:00 AM,0,,,,,,,,
2/3/1980 12:00:00 AM,0,,,,,,,,
2/4/1980 12:00:00 AM,669.75,,,2.2784,,,,,
2/5/1980 12:00:00 AM,669.75,,,2.2889,,,,,
2/6/1980 12:00:00 AM,709,,,2.3079,,,,,
2/7/1980 12:00:00 AM,699.25,,,2.302,,,,,
2/8/1980 12:00:00 AM,692,,,2.2978,,,,,
2/9/1980 12:00:00 AM,0,,,,,,,,
2/10/1980 12:00:00 AM,0,,,,,,,,
2/11/1980 12:00:00 AM,710.5,,,2.3047,,,,,
2/12/1980 12:00:00 AM,694.5,,,2.2994,,,,,
2/13/1980 12:00:00 AM,696.75,,,2.3063,,,,,
2/14/1980 12:00:00 AM,682,,,2.3132,,,,,
2/15/1980 12:00:00 AM,667,,,2.301,,,,,
2/16/1980 12:00:00 AM,0,,,,,,,,
2/17/1980 12:00:00 AM,0,,,,,,,,
2/18/1980 12:00:00 AM,667,,,2.2952,,,,,
2/19/1980 12:00:00 AM,652.25,,,2.2707,,,,,
2/20/1980 12:00:00 AM,652.25,,,2.2779,,,,,
2/21/1980 12:00:00 AM,665,,,2.2878,,,,,
2/22/1980 12:00:00 AM,630,,,2.2769,,,,,
2/23/1980 12:00:00 AM,0,,,,,,,,
2/24/1980 12:00:00 AM,0,,,,,,,,
2/25/1980 12:00:00 AM,616.5,,,2.2758,,,,,
2/26/1980 12:00:00 AM,642.25,,,2.2784,,,,,
2/27/1980 12:00:00 AM,636,,,2.2868,,,,,
2/28/1980 12:00:00 AM,646,,,2.2857,,,,,
2/29/1980 12:00:00 AM,637,,,2.2743,,,,,
3/1/1980 12:00:00 AM,0,,,,,,,,
3/2/1980 12:00:00 AM,0,,,,,,,,
3/3/1980 12:00:00 AM,663.75,,,2.2528,,,,,
3/4/1980 12:00:00 AM,631.25,,,2.2257,,,,,
3/5/1980 12:00:00 AM,643.5,,,2.2447,,,,,
3/6/1980 12:00:00 AM,643.5,,,2.2272,,,,,
3/7/1980 12:00:00 AM,609,,,2.2227,,,,,
3/8/1980 12:00:00 AM,0,,,,,,,,
3/9/1980 12:00:00 AM,0,,,,,,,,
3/10/1980 12:00:00 AM,585,,,2.2193,,,,,
3/11/1980 12:00:00 AM,570.25,,,2.2262,,,,,
3/12/1980 12:00:00 AM,585.7,,,2.2356,,,,,
3/13/1980 12:00:00 AM,556.5,,,2.2212,,,,,
3/14/1980 12:00:00 AM,523,,,2.2119,,,,,
3/15/1980 12:00:00 AM,0,,,,,,,,
3/16/1980 12:00:00 AM,0,,,,,,,,
3/17/1980 12:00:00 AM,484,,,2.1863,,,,,
3/18/1980 12:00:00 AM,481.5,,,2.1944,,,,,
3/19/1980 12:00:00 AM,527,,,2.1911,,,,,
3/20/1980 12:00:00 AM,561,,,2.1978,,,,,
3/21/1980 12:00:00 AM,561,,,2.1815,,,,,
3/22/1980 12:00:00 AM,0,,,,,,,,
3/23/1980 12:00:00 AM,0,,,,,,,,
3/24/1980 12:00:00 AM,558.25,,,2.1815,,,,,
3/25/1980 12:00:00 AM,547.25,,,2.1935,,,,,
3/26/1980 12:00:00 AM,508,,,2.2022,,,,,
3/27/1980 12:00:00 AM,485.25,,,2.1782,,,,,
3/28/1980 12:00:00 AM,490,,,2.1749,,,,,
3/29/1980 12:00:00 AM,0,,,,,,,,
3/30/1980 12:00:00 AM,0,,,,,,,,
3/31/1980 12:00:00 AM,495,,,2.164,,,,,
4/1/1980 12:00:00 AM,509.5,,,2.14,,,,,
4/2/1980 12:00:00 AM,500.5,,,2.1575,,,,,
4/3/1980 12:00:00 AM,485.75,,,2.1395,,,,,
4/4/1980 12:00:00 AM,485.75,,,0,,,,,
4/5/1980 12:00:00 AM,0,,,,,,,,
4/6/1980 12:00:00 AM,0,,,,,,,,
4/7/1980 12:00:00 AM,485.75,,,0,,,,,
4/8/1980 12:00:00 AM,528,,,2.158,,,,,
4/9/1980 12:00:00 AM,554,,,2.1758,,,,,
4/10/1980 12:00:00 AM,526,,,2.1844,,,,,
4/11/1980 12:00:00 AM,530.5,,,2.1959,,,,,
4/12/1980 12:00:00 AM,0,,,,,,,,
4/13/1980 12:00:00 AM,0,,,,,,,,
4/14/1980 12:00:00 AM,529.75,,,2.2207,,,,,
4/15/1980 12:00:00 AM,497.5,,,2.1906,,,,,
4/16/1980 12:00:00 AM,520,,,2.2148,,,,,
4/17/1980 12:00:00 AM,513,,,2.2292,,,,,
4/18/1980 12:00:00 AM,515.6,,,2.2287,,,,,
4/19/1980 12:00:00 AM,0,,,,,,,,
4/20/1980 12:00:00 AM,0,,,,,,,,
4/21/1980 12:00:00 AM,506,,,2.2321,,,,,
4/22/1980 12:00:00 AM,506,,,2.2376,,,,,
4/23/1980 12:00:00 AM,506.5,,,2.2584,,,,,
4/24/1980 12:00:00 AM,515.7,,,2.2671,,,,,
4/25/1980 12:00:00 AM,551.5,,,2.2779,,,,,
4/26/1980 12:00:00 AM,0,,,,,,,,
4/27/1980 12:00:00 AM,0,,,,,,,,
4/28/1980 12:00:00 AM,524.25,,,2.2868,,,,,
4/29/1980 12:00:00 AM,513.75,,,2.2732,,,,,
4/30/1980 12:00:00 AM,518,,,2.2548,,,,,
5/1/1980 12:00:00 AM,490,,,2.2619,,,,,
5/2/1980 12:00:00 AM,512.5,,,2.263,,,,,
5/3/1980 12:00:00 AM,0,,,,,,,,
5/4/1980 12:00:00 AM,0,,,,,,,,
5/5/1980 12:00:00 AM,515,,,0,,,,,
5/6/1980 12:00:00 AM,512.5,,,2.2862,,,,,
5/7/1980 12:00:00 AM,512.5,,,2.2815,,,,,
5/8/1980 12:00:00 AM,515.75,,,2.2841,,,,,
5/9/1980 12:00:00 AM,508.25,,,2.2701,,,,,
5/10/1980 12:00:00 AM,0,,,,,,,,
5/11/1980 12:00:00 AM,0,,,,,,,,
5/12/1980 12:00:00 AM,513.25,,,2.2815,,,,,
5/13/1980 12:00:00 AM,512,,,2.2815,,,,,
5/14/1980 12:00:00 AM,525,,,2.2889,,,,,
5/15/1980 12:00:00 AM,517,,,2.3026,,,,,
5/16/1980 12:00:00 AM,516.5,,,2.2857,,,,,
5/17/1980 12:00:00 AM,0,,,,,,,,
5/18/1980 12:00:00 AM,0,,,,,,,,
5/19/1980 12:00:00 AM,514.25,,,2.2852,,,,,
5/20/1980 12:00:00 AM,507.75,,,2.2915,,,,,
5/21/1980 12:00:00 AM,513.5,,,2.3267,,,,,
5/22/1980 12:00:00 AM,513.5,,,2.3267,,,,,
5/23/1980 12:00:00 AM,511.25,,,2.3447,,,,,
5/24/1980 12:00:00 AM,0,,,,,,,,
5/25/1980 12:00:00 AM,0,,,,,,,,
5/26/1980 12:00:00 AM,511.25,,,0,,,,,
5/27/1980 12:00:00 AM,514.8,,,2.3685,,,,,
5/28/1980 12:00:00 AM,526.5,,,2.3563,,,,,
5/29/1980 12:00:00 AM,519.6,,,2.3485,,,,,
5/30/1980 12:00:00 AM,535.5,,,2.3452,,,,,
5/31/1980 12:00:00 AM,0,,,,,,,,
6/1/1980 12:00:00 AM,0,,,,,,,,
6/2/1980 12:00:00 AM,561.5,,,2.3392,,,,,
