gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
001078,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,ABBOTT LABORATORIES,ABT
001300,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,HONEYWELL INTERNATIONAL INC,HON
001440,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,AMERICAN ELECTRIC POWER CO,AEP
002285,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,BOEING CO,BA
002403,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,BRISTOL-MYERS SQUIBB CO,BMY
002663,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CAMPBELL SOUP CO,CPB
002817,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CATERPILLAR INC,CAT
002991,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CHEVRON CORP,CVX
003144,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,COCA-COLA CO,KO
003170,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,COLGATE-PALMOLIVE CO,CL
003413,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CONSOLIDATED EDISON INC,ED
003532,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,CORNING INC,GLW
003835,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,DEERE & CO,DE
003897,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,DTE ENERGY CO,DTE
004029,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,DOMINION ENERGY INC,D
004199,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,EATON CORP PLC,ETN
004503,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,EXXON MOBIL CORP,XOM
004839,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,FORD MOTOR CO,F
005046,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,GENERAL DYNAMICS CORP,GD
005047,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,GENERAL ELECTRIC CO,GE
005439,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,HALLIBURTON CO,HAL
005597,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,HERSHEY CO,HSY
006066,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,INTL BUSINESS MACHINES CORP,IBM
006104,000003,03/31/1964,,S&P 500 Comp-Ltd,I0003,INTL PAPER CO,IP
